Campus,Code,Name,Credits,Areas of Knowledge,Prerequisites
Seattle,AIS 341,Native Women in the Americas,5,I&S,
Seattle,AIS 350,Two-Dimensional Art of the Northwest Coast Indians,5,VLPA,
Seattle,AIS 360,American Indians in Cinema,5,"DIV,I&S,VLPA",
Seattle,AIS 370,Researching Indians' History,5,I&S,
Seattle,AIS 375,Special Topics in American Indian and Indigenous Studies,,I&S,
Seattle,AIS 376,First Nations Literature,5,VLPA,
Seattle,AIS 377,Contemporary American Indian Literature,5,"DIV,VLPA",
Seattle,AIS 378,Contemporary American Indian Literature: A Northwest Focus,5,VLPA,
Seattle,AIS 379,Powwow: Tradition and Innovation,5,"DIV,I&S,VLPA",
Seattle,AIS 425,Indians in Western Washington History,5,"DIV,I&S",
Seattle,AIS 431,History of American Indian Education,5,I&S,
Seattle,AIS 435,Spiritual Encounters: Native Spirituality in the Contact Era,5,I&S,
Seattle,AIS 440,Reading Native American Women's Lives,5,"DIV,I&S",
Seattle,AIS 441,Gender in Native American Societies,5,"DIV,I&S",
Seattle,AIS 442,Images of Natives in the Cinema and Popular Cultures,5,"DIV,I&S,VLPA",
Seattle,AIS 443,"Indigenous Films, Sovereign Visions",5,"DIV,I&S,VLPA",
Seattle,AIS 444,"Criminality and ""Deviance"" in Native Communities",5,,
Seattle,AIS 446,American Indian Economic History,5,I&S,
Seattle,AIS 451,Critical Conversations in American Indian Studies,5,,
Seattle,AIS 461,First Nations Government and Politics in Canada,5,"DIV,I&S",
Seattle,AIS 465,First Nations Filmmaking in Canada,5,VLPA,
Seattle,AIS 466,Producing the Documentary Short,5,VLPA,
Seattle,AIS 475,Research Topics in American Indian and Indigenous Studies,,I&S,
Seattle,AIS 480,"Indigenous Resistance and Resurgence Movements in the United States, Canada, and Mexico",5,"DIV,I&S",
Seattle,AIS 497,Internship,,,
Seattle,AIS 499,Independent Study,,"I&S,VLPA",
Seattle,AIS 501,Documentary Film/Video Research Methods in Native Communities,5,,
Seattle,AIS 503,"Documentary Theory, Form, and Practice",5,,
Seattle,AIS 590,Special Topics,,,
Seattle,AMATH 301,Beginning Scientific Computing,4,NW,"MATH 125,MATH 135,Q SCI 292"
Seattle,AMATH 342,Introduction to Neural Coding and Computation,3,,MATH 125
Seattle,AMATH 351,Introduction to Differential Equations and Applications,3,NW,"MATH 125,MATH 135"
Seattle,AMATH 352,Applied Linear Algebra and Numerical Analysis,3,NW,"MATH 126,MATH 136"
Seattle,AMATH 353,Partial Differential Equations and Waves,3,NW,"AMATH 351,MATH 136,MATH 307"
Seattle,AMATH 383,Introduction to Continuous Mathematical Modeling,3,NW,"AMATH 351,MATH 136,MATH 307"
Seattle,AMATH 401,Vector Calculus and Complex Variables,4,NW,"MATH 126,MATH 136"
Seattle,AMATH 402,Introduction to Dynamical Systems and Chaos,4,NW,"AMATH 351,MATH 136,MATH 307"
Seattle,AMATH 403,Methods for Partial Differential Equations,4,NW,"AMATH 351,AMATH 401,MATH 136,MATH 307"
Seattle,AMATH 422,Computational Modeling of Biological Systems,3,NW,"AMATH 351,MATH 307"
Seattle,AMATH 423,Mathematical Analysis in Biology and Medicine,3,NW,"AMATH 351,MATH 307,STAT 390"
Seattle,AMATH 481,Scientific Computing,5,,"AMATH 301,AMATH 351,AMATH 352,MATH 307,MATH 308"
Seattle,AMATH 482,Computational Methods for Data Analysis,5,,"AMATH 301,AMATH 352,MATH 136,MATH 308"
Seattle,AMATH 483,High-Performance Scientific Computing,5,,"AMATH 301,CSE 142"
Seattle,AMATH 490,Special Topics,,,
Seattle,AMATH 498,Senior Project or Thesis,,,
Seattle,AMATH 499,Undergraduate Reading and Research,,,
Seattle,AMATH 501,Vector Calculus and Complex Variables,5,,
Seattle,AMATH 502,Introduction to Dynamical Systems and Chaos,5,,
Seattle,AMATH 503,Methods for Partial Differential Equations,5,,AMATH 501
Seattle,AMATH 505,Introduction to Fluid Dynamics,4,,"ATM S 505,OCEAN 511"
Seattle,AMATH 506,Applied Probability and Statistics,4,,STAT 506
Seattle,AMATH 507,Calculus of Variations,5,,"AMATH 351,MATH 307,MATH 324,MATH 327"
Seattle,AMATH 512,Methods of Engineering Analysis,3,,"AMATH 351,CHEM E 512,MATH 307,MATH 308,MATH 324"
Seattle,AMATH 514,Networks and Combinatorial Optimization,3,,"AMATH 352,MATH 308,MATH 514"
Seattle,AMATH 515,Fundamentals of Optimization,5,,"IND E 515,MATH 515"
Seattle,AMATH 516,Numerical Optimization,3,,
Seattle,AMATH 518,Theory of Optimal Control,3,,"MATH 426,MATH 515,MATH 518"
Seattle,AMATH 521,Special Topics in Mathematical Biology,5,,
Seattle,AMATH 522,Computational Modeling of Biological Systems,5,,
Seattle,AMATH 523,Mathematical Analysis in Biology and Medicine,5,,
Seattle,AMATH 524,Mathematical Biology: Spatiotemporal Models,5,,
Seattle,AMATH 531,Mathematical Theory of Cellular Dynamics,3,,
Seattle,AMATH 532,Mathematics of Genome Analysis and Molecular Modeling,5,,AMATH 506
Seattle,AMATH 533,Neural Control of Movement: A Computational Perspective,3,,CSE 529
Seattle,AMATH 534,Dynamics of Neurons and Networks,5,,
Seattle,AMATH 535,Mathematical Ecology,5,,
Seattle,AMATH 536,Spatial Models in Ecology and Epidemiology,5,,
Seattle,AMATH 567,Applied Complex Analysis,5,,AMATH 401
Seattle,AMATH 568,Advanced Methods for Ordinary Differential Equations,5,,
Seattle,AMATH 569,Advanced Methods for Partial Differential Equations,5,,
Seattle,AMATH 570,Approximation Theory and Spectral Methods,5,,"AMATH 584,AMATH 586,MATH 585"
Seattle,AMATH 571,Intelligent Control Through Learning and Optimization,3,,CSE 579
Seattle,AMATH 572,Introduction to Applied Stochastic Analysis,5,,
Seattle,AMATH 573,"Coherent Structures, Pattern Formation and Solitons",5,,
Seattle,AMATH 574,Conservation Laws and Finite Volume Methods,5,,AMATH 586
Seattle,AMATH 575,Dynamical Systems,5,,AMATH 502
Seattle,AMATH 581,Scientific Computing,5,,
Seattle,AMATH 582,Computational Methods for Data Analysis,5,,
Seattle,AMATH 583,High-Performance Scientific Computing,5,,
Seattle,AMATH 584,Applied Linear Algebra and Introductory Numerical Analysis,5,,MATH 584
Seattle,AMATH 585,Numerical Analysis of Boundary Value Problems,5,,"AMATH 581,AMATH 584,MATH 584,MATH 585"
Seattle,AMATH 586,Numerical Analysis of Time Dependent Problems,5,,"AMATH 581,AMATH 584,AMATH 585,ATM S 581,MATH 584,MATH 585,MATH 586"
Seattle,AMATH 590,Special Topics,,,
Seattle,AMATH 600,Independent Research or Study,,,
Seattle,AMATH 601,Internship,,,
Seattle,AMATH 700,Master's Thesis,,,
Seattle,AMATH 800,Doctoral Dissertation,,,
Seattle,ANEST 498,Undergraduate Thesis,,,
Seattle,ANEST 499,Undergraduate Research,,,
Seattle,ANEST 501,P-Preceptorship in Anesthesiology,1,,
Seattle,ANEST 650,P-Pain Medicine Clerkship,8,,
Seattle,ANEST 663,"Basic Anesthesia Clerkship - Cheyenne, WY",4,,
Seattle,ANEST 665,P-Basic Anesthesia Clerkship - Anchorage,4,,
Seattle,ANEST 667,P-Basic Anesthesia Clerkship - Billings,4,,
Seattle,ANEST 668,P-Basic Anesthesia Clerkship - Missoula,4,,
Seattle,ANEST 671,P-Basic Anesthesia Clerkship - Boise,4,,
Seattle,ANEST 672,"Basic Anesthesiology - Boise, ID VA",4,,
Seattle,ANEST 674,P-Basic Anesthesia Clerkship - Spokane,4,,
Seattle,ANEST 677,P-Basic Anesthesia Clerkship - Swedish,4,,
Seattle,ANEST 678,P-Basic Anesthesia Clerkship - VA,4,,
Seattle,ANEST 679,P-Basic Anesthesia Clerkship - HMC,4,,
Seattle,ANEST 680,P-Basic Anesthesia Clerkship - UWMC,4,,
Seattle,ANEST 681,P-Advanced Clerkship in Anesthesiology - UWMC,8,,
Seattle,ANEST 682,P-Advanced Clerkship in Anesthesia - HMC,8,,
Seattle,ANEST 683,P-Advanced Clerkship in Anesthesiology - VAMC,8,,
Seattle,ANEST 684,P-Advanced Clerkship in Anesthesiology - Spokane,8,,
Seattle,ANEST 688,"Advanced Anesthesia - Cheyenne, WY",8,,
Seattle,ANEST 697,P-Anesthesiology Special Electives,,,
Seattle,ANEST 699,P-Wwami Anesthesiology Special Electives,,,
Seattle,ANTH 100,Introduction to Anthropology,5,I&S,
Seattle,ANTH 101,Exploring Sociocultural Anthropology,5,"DIV,I&S",
Seattle,ANTH 150,Culture and Rights: Exploring the Meaning and Practice of Human Rights,5,"DIV,I&S",
Seattle,ANTH 202,Principles of Sociocultural Anthropology,5,I&S,
Seattle,ANTH 203,Introduction to Anthropological Linguistics,5,"I&S,VLPA",
Seattle,ANTH 204,Reading Ethnography,5,I&S,
Seattle,ANTH 206,The Cultural Animal,5,"I&S,NW",
Seattle,ANTH 207,Class and Culture in America,5,"DIV,I&S",
Seattle,ANTH 208,The Culture Concept,5,I&S,
Seattle,ANTH 209,Anthropology Through Visual Media,5,"I&S,VLPA",
Seattle,ANTH 210,Introduction to Environmental Anthropology,5,"I&S,NW",
Seattle,ANTH 211,Environmental Justice,5,"DIV,I&S",
Seattle,ANTH 213,Anthropology and Sport,5,"DIV,I&S",
Seattle,ANTH 215,Introduction to Medical Anthropology and Global Health,5,"DIV,I&S",
Seattle,ANTH 228,"Identities: Race, Class, Gender, and Sexuality in Anthropology",5,"DIV,I&S",
Seattle,ANTH 233,Introduction to Language and Society,5,"DIV,VLPA",
Seattle,ANTH 235,Global Feminist Art,5,"I&S,VLPA",
Seattle,ANTH 269,Special Topics in Anthropology,,I&S,
Seattle,ANTH 280,Cultures of Global Capital,5,I&S,
Seattle,ANTH 289,Identities: Service Learning,3,I&S,
Seattle,ANTH 301,Human Nature and Culture,3,I&S,
Seattle,ANTH 302,Body and Soul: Introduction to Medical Anthropology and Global Health as Social Justice Praxis,5,"DIV,I&S",
Seattle,ANTH 303,Technologies of Health,5,"I&S,VLPA",
Seattle,ANTH 305,Anthropology of the Body,5,I&S,
Seattle,ANTH 306,The Power of Representation: Pacific Islander Voices,5,"DIV,I&S,VLPA",
Seattle,ANTH 307,U.S. Pacific Islander Contemporary Culture,5,"DIV,I&S",
Seattle,ANTH 308,"The Anthropology of Gender, Women's Health, and Reproduction",5,"DIV,I&S",
Seattle,ANTH 310,Native North American Societies,5,"DIV,I&S",
Seattle,ANTH 311,The Cultural Politics of Diet and Nutrition,5,I&S,
Seattle,ANTH 312,Pacific Islands Literature and Film,5,"DIV,I&S,VLPA",
Seattle,ANTH 313,Peoples of Africa,5,I&S,
Seattle,ANTH 314,"Ethnography, Transnationalism, and Community in Island Southeast Asia/Asian America",5,"DIV,I&S",AAS 314
Seattle,ANTH 315,Southeast Asian Civilization: Buddhist and Vietnamese,5,"DIV,I&S",
Seattle,ANTH 316,Modern South Asia,5,I&S,
Seattle,ANTH 317,Anthropology of Tibetan Civilization,5,I&S,
Seattle,ANTH 318,Anthropology of Islam and Muslim Societies,,I&S,
Seattle,ANTH 321,Comparative Religion,,I&S,
Seattle,ANTH 322,Comparative Study of Death,5,I&S,
Seattle,ANTH 323,Human Rights Law in Culture and Practice,5,"DIV,I&S",
Seattle,ANTH 324,Current Issues in Medical Anthropoogy and Global Health,2,I&S,
Seattle,ANTH 328,Gender and Sexuality in China,5,"DIV,I&S",
Seattle,ANTH 330,"Religion, Identity, and Cultural Pluralism",5,"DIV,I&S",
Seattle,ANTH 339,Social Movements in Contemporary India,5,"DIV,I&S",
Seattle,ANTH 341,Political Violence and the Post-Colonial State in South Asia,5,"DIV,I&S",
Seattle,ANTH 345,Women and International Economic Development,5,"DIV,I&S",
Seattle,ANTH 349,Dance/Performance Ethnography,3,"I&S,VLPA",
Seattle,ANTH 352,Buddhism and Society: The Theravada Buddhist Tradition in South and Southeast Asia,5,I&S,
Seattle,ANTH 353,Feminist Anthropology,5,"DIV,I&S",
Seattle,ANTH 356,Visual Anthropology,,"I&S,VLPA",
Seattle,ANTH 357,Peoples and Cultures of Central and Inner Asia,5,I&S,
Seattle,ANTH 358,Culture and Cognition,5,"I&S,NW","ANTH 203,LING 203,PSYCH 355"
Seattle,ANTH 359,Linguistic Ethnography,5,I&S,
Seattle,ANTH 360,Anthropology of Popular Culture,5,I&S,
Seattle,ANTH 361,Anthropology of Food,5,I&S,
Seattle,ANTH 362,Anthropology of Tourism,5,"DIV,I&S",
Seattle,ANTH 363,Applied Visual Anthropological Practices,5,"I&S,VLPA",
Seattle,ANTH 368,Mythical Figures and Cultural Formations,3,I&S,
Seattle,ANTH 369,Special Problems in Anthropology,,I&S,
Seattle,ANTH 370,Han Chinese Society and Culture,5,I&S,
Seattle,ANTH 371,Anthropology of Development,5,I&S,ENVIR 371
Seattle,ANTH 373,"Labor, Identity, and Knowledge in Healthcare",5,I&S,
Seattle,ANTH 374,"Narrative, Literature, and Medical Anthropology",5,I&S,
Seattle,ANTH 375,Comparative Systems of Healing,5,I&S,
Seattle,ANTH 376,Anthropology of Disability,5,"DIV,I&S",
Seattle,ANTH 377,Anthropology and International Health,5,I&S,
Seattle,ANTH 378,"Sustainability, Resilience, and Society",5,,
Seattle,ANTH 380,"Subject, Person, Place: Introduction to Social Theory",3,I&S,
Seattle,ANTH 399,Junior Honors Seminar,5,I&S,
Seattle,ANTH 402,Introduction to Experiential Ethnography: Towards a Critical Re-Enchantment of Every Day Life,5,I&S,
Seattle,ANTH 403,Qualitative Research Methods in Sociocultural Anthropology,5,I&S,
Seattle,ANTH 404,South America,5,I&S,LING 203
Seattle,ANTH 405,Urban Health Methodologies: Ethnography of the Invisible in Search of New Urban Commons,5,I&S,
Seattle,ANTH 406,China's Environment,5,I&S,"ANTH 210,ENVIR 201,JSIS 200,JSIS 201,JSIS 202,JSIS A 406"
Seattle,ANTH 407,Global Futures in East Asia,5,I&S,
Seattle,ANTH 409,Queer Health,5,"DIV,I&S",
Seattle,ANTH 410,"Growing Stuff: Ecology, Economy, and Culture of Resource-Production Ecosystems",5,"I&S,NW",
Seattle,ANTH 411,The Culture and Politics of Food: Study Abroad in Italy,,I&S,
Seattle,ANTH 412,South Asian Social Structure,5,"DIV,I&S",JSIS A 412
Seattle,ANTH 413,Anthropology of the Modern Middle East and North Africa,5,I&S,
Seattle,ANTH 414,Applied and Public Anthropology,5,I&S,
Seattle,ANTH 415,Visual Anthropology Methods: Video,5,VLPA,
Seattle,ANTH 416,Comparative Social Movements: Mexico and the United States,5,"DIV,I&S",
Seattle,ANTH 418,Indian Heritage of Mexico and Central America,5,"DIV,I&S",LING 203
Seattle,ANTH 419,Collective Memory and Violence,5,I&S,
Seattle,ANTH 420,The Social Life of Psychiatry,5,I&S,
Seattle,ANTH 421,"Belief, Ritual, and the Structure of Religion",5,I&S,"ANTH 321,JSIS C 201,JSIS C 202"
Seattle,ANTH 423,Traffic Across Cultural Boundaries,5,I&S,
Seattle,ANTH 424,Hunter-Gatherer Societies,4,I&S,LING 203
Seattle,ANTH 425,Anthropology of the Post-Soviet States,5,I&S,
Seattle,ANTH 427,Anthropology in Urban Settings,3,I&S,LING 203
Seattle,ANTH 428,Anthropological Perspectives on Ethnicity,5,"DIV,I&S",LING 203
Seattle,ANTH 429,Expressive Culture,5,VLPA,LING 203
Seattle,ANTH 430,The Anthropology of Music,3,"I&S,VLPA",
Seattle,ANTH 432,Sociolinguistics I,5,"DIV,I&S,VLPA","LING 200,LING 400,LING 432"
Seattle,ANTH 433,Sociolinguistics II,5,"I&S,VLPA","LING 432,LING 433"
Seattle,ANTH 435,Economic Anthropology,5,I&S,LING 203
Seattle,ANTH 437,Political Anthropology and Social Change,5,I&S,
Seattle,ANTH 439,Pidgin and Creole Languages,5,"I&S,VLPA","ANTH 203,LING 200,LING 201,LING 203,LING 400,LING 430"
Seattle,ANTH 442,Global Asia,5,"DIV,I&S","GWSS 446,JSIS A 452"
Seattle,ANTH 443,Anthropology of Modern Japan,5,I&S,
Seattle,ANTH 444,Politics of Representation in Modern China,5,"DIV,I&S",
Seattle,ANTH 445,Literature and Society in Southeast Asia,5,"I&S,VLPA","JSIS A 447,LING 203"
Seattle,ANTH 446,Class and Culture in East Asia,5,"DIV,I&S",
Seattle,ANTH 448,Modern Korean Society,5,I&S,
Seattle,ANTH 449,Social Transformation of Modern East Asia,5,I&S,
Seattle,ANTH 450,Language and Gender,5,"DIV,I&S,VLPA","ANTH 203,GWSS 450,LING 200,LING 201,LING 203,LING 458"
Seattle,ANTH 452,Explorations in Biopower,5,I&S,
Seattle,ANTH 453,"Culture, Controversy, and Change: The Case of Female Circumcision",3,I&S,
Seattle,ANTH 454,"Women, Words, Music, and Change",5,"DIV,I&S,VLPA",
Seattle,ANTH 455,Areal Linguistics,3,"I&S,VLPA","LING 200,LING 201,LING 203,LING 400,LING 455"
Seattle,ANTH 456,Contemporary Ethnography,5,I&S,LING 203
Seattle,ANTH 457,Ecological Anthropology,5,I&S,
Seattle,ANTH 458,"Ethnobiology: Plants, Animals, and People",5,I&S,"ARCHY 205,BIO A 201"
Seattle,ANTH 459,"Culture, Ecology, and Politics",5,"DIV,I&S",
Seattle,ANTH 460,History of Anthropology,5,I&S,
Seattle,ANTH 461,Historical Ecology,5,"I&S,NW",
Seattle,ANTH 463,Critiques of Contemporary Capitalism,5,I&S,
Seattle,ANTH 464,Language Politics and Cultural Identity,3,"I&S,VLPA","LING 200,LING 201,LING 203,LING 400,LING 464"
Seattle,ANTH 465,Critical Anthropology of Mass Culture,5,I&S,
Seattle,ANTH 466,Anthropology Honors Thesis,,I&S,
Seattle,ANTH 467,Anthropology of Education,5,"DIV,I&S",
Seattle,ANTH 468,Anthropology of Care,5,I&S,
Seattle,ANTH 469,Special Studies in Anthropology,,I&S,
Seattle,ANTH 470,Minority Peoples of China,5,I&S,"ANTH 370,HSTAS 454,JSIS A 370,JSIS A 470,LING 203"
Seattle,ANTH 471,Colonialism and Culture,5,"DIV,I&S",
Seattle,ANTH 472,Case Studies in Medical Anthropology and Global Health,5,I&S,
Seattle,ANTH 473,Anthropology of Science and Technology,5,"I&S,NW",
Seattle,ANTH 474,Social Difference and Medical Knowledge,5,"DIV,I&S",
Seattle,ANTH 475,Perspectives in Medical Anthropology,5,I&S,
Seattle,ANTH 476,"Culture, Medicine, and the Body",5,I&S,
Seattle,ANTH 477,Medicine in America: Conflicts and Contradictions,3,I&S,
Seattle,ANTH 478,Introduction to the Anthropology of Institutions,5,I&S,
Seattle,ANTH 479,Advanced Topics in Medical Anthropology,,,
Seattle,ANTH 483,Africa Living With HIV/AIDS,5,I&S,
Seattle,ANTH 484,Ideologies and Technologies of Motherhood,5,"DIV,I&S","GWSS 200,GWSS 458"
Seattle,ANTH 487,Cultures and Politics of Environmental Justice,5,"DIV,I&S",
Seattle,ANTH 488,Agroecology,5,"I&S,NW",
Seattle,ANTH 489,Anthropology Practicum,,,
Seattle,ANTH 490,Healthcare and Aging,5,I&S,
Seattle,ANTH 491,Honors Colloquium,2,I&S,
Seattle,ANTH 492,Settler Colonialism,3,,
Seattle,ANTH 495,Advanced Problems in Ethnology,,I&S,
Seattle,ANTH 497,Domesticating International Human Rights: Perspectives on U.S. Asylum and Refugee Law,5,"DIV,I&S",
Seattle,ANTH 498,Women's Rights and Politics in Islamic Society,5,"DIV,I&S",
Seattle,ANTH 499,Undergraduate Research,,,
Seattle,ANTH 500,Preceptorial Reading,6,,
Seattle,ANTH 503,Preceptorial Reading in Linguistic Anthropology,6,,
Seattle,ANTH 507,Current Issues in Sociocultural Anthropology,2,,
Seattle,ANTH 508,Current Issues in Sociocultural Anthropology,2,,
Seattle,ANTH 509,Sociocultural Anthropology Problem Paper,4,,
Seattle,ANTH 510,Seminar on North American Indians,3,,
Seattle,ANTH 514,Regional Seminar,,,
Seattle,ANTH 515,Visual Anthropology Methods: Video,5,,
Seattle,ANTH 516,Rethinking Area Studies,5,,
Seattle,ANTH 517,Seminar on South Asia,3,,ANTH 412
Seattle,ANTH 518,Advanced Qualitative Methods in Anthropology and Public Health,5,,
Seattle,ANTH 519,Advanced Qualitative Methods in Anthropology and Public Health,5,,
Seattle,ANTH 521,Seminar on the Anthropological Study of Religion,3,,ANTH 422
Seattle,ANTH 522,Peoples and Cultures of Central and Inner Asia,5,,
Seattle,ANTH 523,Seminar on Religious and Political Violence,5,,
Seattle,ANTH 524,Current Issues in Medical Anthropoogy and Global Health,2,,
Seattle,ANTH 525,Seminar in Culture Processes,3,,
Seattle,ANTH 526,Political Islam and Islamic Fundamentalism,,,
Seattle,ANTH 527,"Ethnicities, Nations, and Cultural Identities",3,,
Seattle,ANTH 528,Gender and Sexuality in China,5,,
Seattle,ANTH 530,Dialectology,3,,"LING 452,LING 462,LING 508,LING 530"
Seattle,ANTH 532,Sociolinguistics I,5,,"LING 200,LING 400,LING 532"
Seattle,ANTH 533,"Law, Liberalism, and Modernity",5,,
Seattle,ANTH 535,Research Issues in Demography and Population Studies,,,
Seattle,ANTH 536,Seminar in Visual Anthropology,,,
Seattle,ANTH 537,Political Anthropology and Law,3,,
Seattle,ANTH 539,Social Movements in Contemporary India,5,,
Seattle,ANTH 540,Anthropology of Place,5,,
Seattle,ANTH 541,Cultural Aspects of International Development,3,,
Seattle,ANTH 543,Seminar in Anthropology and Political Theory,5,,
Seattle,ANTH 549,Dance Performance Ethnography,3,,
Seattle,ANTH 550,Field Techniques in Ethnography,5,,
Seattle,ANTH 551,Research Design,5,,
Seattle,ANTH 552,Practicum in Ethnographic Research,3,,"ANTH 550,ANTH 551"
Seattle,ANTH 556,The Evolution of the Family,3,,
Seattle,ANTH 559,Seminar in Language and Culture,3,,
Seattle,ANTH 560,Discourse and Culture,5,,
Seattle,ANTH 561,Seminar in Methods and Theories,3,,
Seattle,ANTH 562,Clinically Applied Anthropology,3,,NURS 562
Seattle,ANTH 565,Theory of Sociocultural Anthropology,5,,
Seattle,ANTH 566,Theory of Sociocultural Anthropology,5,,ANTH 565
Seattle,ANTH 567,Theory of Sociocultural Anthropology,5,,ANTH 566
Seattle,ANTH 569,Special Topics in Sociocultural Anthropology,,,
Seattle,ANTH 570,Environmental Anthropology,5,,
Seattle,ANTH 572,Environmental Anthropology Research Methodology Colloquium,2,,
Seattle,ANTH 573,Current Issues in Environmental Anthropology,2,,
Seattle,ANTH 574,"Culture, Society, and Genomics",3,,
Seattle,ANTH 575,Cultural Construction of Illness: Seminar in Medical Anthropology,5,,
Seattle,ANTH 578,Special Topics in the Anthropology of Institutions,5,,
Seattle,ANTH 580,Presenting Research Effectively,2,,
Seattle,ANTH 581,Dissertation Writing,3,,
Seattle,ANTH 583,Africa Living With HIV/AIDS,5,,
Seattle,ANTH 584,Ways of Speaking,5,,
Seattle,ANTH 592,Settler Colonialism,3,,
Seattle,ANTH 599,Effective Teaching of Anthropology,1,,
Seattle,ANTH 600,Independent Study or Research,,,
Seattle,ANTH 700,Master's Thesis,,,
Seattle,ANTH 800,Doctoral Dissertation,,,
Seattle,ARAB 101,Elementary Arabic,5,,
Seattle,ARAB 102,Elementary Arabic,5,,"ARAB 101,ARAB 105,ARAB 411"
Seattle,ARAB 103,Elementary Arabic,5,,"ARAB 102,ARAB 105,ARAB 411"
Seattle,ARAB 105,Intensive Elementary Arabic,15,,
Seattle,ARAB 199,Study Abroad,,,
Seattle,ARAB 201,Intermediate Arabic,5,VLPA,"ARAB 103,ARAB 105,ARAB 205"
Seattle,ARAB 202,Intermediate Arabic,5,VLPA,"ARAB 201,ARAB 205"
Seattle,ARAB 203,Intermediate Arabic,5,VLPA,"ARAB 202,ARAB 205"
Seattle,ARAB 205,Intensive Intermediate Arabic,15,VLPA,"ARAB 103,ARAB 105,ARAB 201,ARAB 202,ARAB 203"
Seattle,ARAB 399,Study Abroad,,,
Seattle,ARAB 401,Current Issues in Arab Media,5,,ARAB 203
Seattle,ARAB 402,Current Issues in Arab Media,5,,ARAB 401
Seattle,ARAB 403,Current Issues in Arab Media,5,,ARAB 402
Seattle,ARAB 404,Arabic Short Stories,5,VLPA,"ARAB 203,ARAB 205"
Seattle,ARAB 405,Modern Arabic Poetry,3,VLPA,"ARAB 203,ARAB 205"
Seattle,ARAB 406,Development of Modern Arabic Prose,5,VLPA,"ARAB 203,ARAB 205"
Seattle,ARAB 407,Grammatical and Lexical Arabic Texts,3,VLPA,"ARAB 203,ARAB 205"
Seattle,ARAB 408,Historical Texts,3,"I&S,VLPA","ARAB 203,ARAB 205"
Seattle,ARAB 409,Quran and Its Interpretation,3,VLPA,"ARAB 203,ARAB 205"
Seattle,ARAB 410,Islamic Theological and Mystical Literature,3,VLPA,"ARAB 203,ARAB 205"
Seattle,ARAB 411,Arabic Through Song,5,"I&S,VLPA","ARAB 203,ARAB 205"
Seattle,ARAB 412,Introduction to Classical Arabic,5,VLPA,"ARAB 203,ARAB 205"
Seattle,ARAB 490,Supervised Study,,,ARAB 423
Seattle,ARAB 496,Special Studies in Arabic,,VLPA,
Seattle,ARAB 499,Undergraduate Research,,,
Seattle,ARAB 511,Elementary Arabic,5,,
Seattle,ARAB 512,Elementary Arabic,5,,"ARAB 411,ARAB 412,ARAB 413,ARAB 511,ARAB 515"
Seattle,ARAB 513,Elementary Arabic,5,,"ARAB 411,ARAB 412,ARAB 413,ARAB 512,ARAB 515"
Seattle,ARAB 515,Intensive Elementary Arabic,15,,
Seattle,ARAB 521,Intermediate Arabic,5,,"ARAB 513,ARAB 515,ARAB 525"
Seattle,ARAB 522,Intermediate Arabic,5,,"ARAB 521,ARAB 525"
Seattle,ARAB 523,Intermediate Arabic,5,,"ARAB 522,ARAB 525"
Seattle,ARAB 525,Intensive Intermediate Arabic,15,,"ARAB 513,ARAB 515,ARAB 521,ARAB 522,ARAB 523"
Seattle,ARAB 541,Current Issues in Arab Media,5,,
Seattle,ARAB 542,Current Issues in Arab Media,5,,
Seattle,ARAB 543,Current Issues in Arab Media,5,,ARAB 542
Seattle,ARAB 544,Arabic Short Stories,5,VLPA,ARAB 203
Seattle,ARAB 546,Development of Modern Arabic Prose,5,VLPA,ARAB 523
Seattle,ARAB 551,Arabic Through Song,5,,"ARAB 523,ARAB 525"
Seattle,ARAB 552,Introduction to Classical Arabic,5,,"ARAB 523,ARAB 525"
Seattle,ARAB 596,Special Studies in Arabic,,,
Seattle,ARAB 600,Independent Study or Research,,,
Seattle,ARAMIC 201,Biblical Aramaic,5,VLPA,"BIBHEB 103,BIBHEB 105"
Seattle,ARAMIC 423,Readings in Syriac,3,VLPA,ARAMIC 412
Seattle,ARAMIC 521,Biblical Aramaic,5,,"BIBHEB 513,BIBHEB 515"
Seattle,ARCH 100,Introduction to Architecture Study,8,VLPA,
Seattle,ARCH 101,Introduction to Architectural Studies,1,,
Seattle,ARCH 150,Appreciation of Architecture I,,VLPA,
Seattle,ARCH 151,Appreciation of Architecture II,,VLPA,
Seattle,ARCH 200,Architectural Design and Representation I,5,VLPA,
Seattle,ARCH 201,Architectural Design and Representation II,5,VLPA,ARCH 200
Seattle,ARCH 231,Making and Craft,5,VLPA,
Seattle,ARCH 251,World Architecture Non-Western Cultures,5,"I&S,VLPA",
Seattle,ARCH 300,Introduction to Architectural Design I,6,,ARCH 201
Seattle,ARCH 301,Introduction to Architectural Design II,6,,ARCH 300
Seattle,ARCH 302,Introduction to Architectural Design III,6,,ARCH 301
Seattle,ARCH 303,Introduction to Design Studio I,6,,
Seattle,ARCH 304,Introduction to Design Studio II,6,,ARCH 303
Seattle,ARCH 305,Introduction to Design Studio III,6,,ARCH 304
Seattle,ARCH 310,Architectural Design Drawing I,3,,
Seattle,ARCH 311,Architectural Design Drawing II,3,,
Seattle,ARCH 312,Architectural Design Drawing III,3,,
Seattle,ARCH 315,Design Drawing,2,,"ARCH 200,ARCH 300"
Seattle,ARCH 320,Introduction to Structures I,3,,
